src_lang,dest_lang,latent_lang,avg,sem95_error,avg_latent,sem95_error_latent
zh,es,en,0.9413217306137085,0.04377000033855438,0.9178988933563232,0.0518774576485157
zh,es,fr,0.9413217306137085,0.04377000033855438,0.08438725024461746,0.0573359839618206
zh,es,de,0.9413217306137085,0.04377000033855438,9.126293298322707e-05,0.00010268999903928488
zh,es,ru,0.9413217306137085,0.04377000033855438,1.9639905985968653e-06,1.399631287313241e-06
zh,de,en,0.9057953357696533,0.05650964751839638,0.909972608089447,0.05763913691043854
zh,de,fr,0.9057953357696533,0.05650964751839638,0.07990676164627075,0.056813180446624756
zh,de,es,0.9057953357696533,0.05650964751839638,0.011363067664206028,0.02226840890944004
zh,de,ru,0.9057953357696533,0.05650964751839638,3.878641109622549e-06,4.165585778537206e-06
zh,ru,en,0.950046181678772,0.03878845274448395,0.9127526879310608,0.05504649132490158
zh,ru,fr,0.950046181678772,0.03878845274448395,0.08392488211393356,0.057227056473493576
zh,ru,es,0.950046181678772,0.03878845274448395,0.011381920427083969,0.022270429879426956
zh,ru,de,0.950046181678772,0.03878845274448395,9.529108501737937e-05,0.00017275637947022915
fr,en,zh,0.9900112152099609,0.01461953204125166,7.495233944609936e-08,1.0358983359992635e-07
fr,en,es,0.9900112152099609,0.01461953204125166,0.011362995021045208,0.02227105386555195
fr,en,de,0.9900112152099609,0.01461953204125166,1.5905876352917403e-05,2.902776213886682e-05
fr,en,ru,0.9900112152099609,0.01461953204125166,2.602323547762353e-07,5.091476964480535e-07
fr,zh,en,0.826450526714325,0.07123328745365143,0.972985029220581,0.03074435517191887
fr,zh,es,0.826450526714325,0.07123328745365143,0.011429568752646446,0.022195372730493546
fr,zh,de,0.826450526714325,0.07123328745365143,0.00018380866094958037,0.00016557391791138798
fr,zh,ru,0.826450526714325,0.07123328745365143,1.080225410987623e-05,1.1580192222027108e-05
fr,es,en,0.978765070438385,0.02745918557047844,0.9765713214874268,0.030879048630595207
fr,es,zh,0.978765070438385,0.02745918557047844,5.497682309396623e-07,8.418269317189697e-07
fr,es,de,0.978765070438385,0.02745918557047844,0.0002104948798660189,0.0004112635215278715
fr,es,ru,0.978765070438385,0.02745918557047844,7.527605134782789e-07,5.064353558736912e-07
fr,de,en,0.9221130013465881,0.051213424652814865,0.9801815152168274,0.023208322003483772
fr,de,zh,0.9221130013465881,0.051213424652814865,2.8040506094839657e-06,5.143737325852271e-06
fr,de,es,0.9221130013465881,0.051213424652814865,0.011362487450242043,0.022267388179898262
fr,de,ru,0.9221130013465881,0.051213424652814865,1.3793062407785328e-06,1.0976980320265284e-06
fr,ru,en,0.9720875024795532,0.028215579688549042,0.991187334060669,0.013631665147840977
fr,ru,zh,0.9720875024795532,0.028215579688549042,7.331191795856284e-07,7.176014378273976e-07
