src_lang,dest_lang,latent_lang,avg,sem95_error,avg_latent,sem95_error_latent
zh,en,ru,0.7766746282577515,0.04321219399571419,0.0016916465247049928,0.0007775946287438273
zh,fr,en,0.7175567150115967,0.05177520588040352,0.6871833205223083,0.0728258341550827
zh,fr,es,0.7175567150115967,0.05177520588040352,0.1139548048377037,0.05275629833340645
zh,fr,de,0.7175567150115967,0.05177520588040352,0.010974502190947533,0.01140885055065155
zh,fr,ru,0.7175567150115967,0.05177520588040352,0.00796212162822485,0.008965992368757725
zh,es,en,0.7751806378364563,0.04239585995674133,0.680412769317627,0.07358285784721375
zh,es,fr,0.7751806378364563,0.04239585995674133,0.09265057742595673,0.04686024785041809
zh,es,de,0.7751806378364563,0.04239585995674133,0.006548469886183739,0.005859840661287308
zh,es,ru,0.7751806378364563,0.04239585995674133,0.0066984547302126884,0.004240537527948618
zh,de,en,0.6540578007698059,0.04252280667424202,0.6488108038902283,0.07693121582269669
zh,de,fr,0.6540578007698059,0.04252280667424202,0.06818732619285583,0.04627622663974762
zh,de,es,0.6540578007698059,0.04252280667424202,0.023313850164413452,0.021835019811987877
zh,de,ru,0.6540578007698059,0.04252280667424202,0.004112353548407555,0.0026333113200962543
zh,ru,en,0.6638137102127075,0.05254872888326645,0.6400859355926514,0.07722274214029312
zh,ru,fr,0.6638137102127075,0.05254872888326645,0.06889254599809647,0.04502943530678749
zh,ru,es,0.6638137102127075,0.05254872888326645,0.024960875511169434,0.02197602577507496
zh,ru,de,0.6638137102127075,0.05254872888326645,0.0060806721448898315,0.005597101524472237
fr,en,zh,0.9067854285240173,0.027031298726797104,0.0021838184911757708,0.0007498639752157032
fr,en,es,0.9067854285240173,0.027031298726797104,0.022452814504504204,0.026490047574043274
fr,en,de,0.9067854285240173,0.027031298726797104,0.0019382811151444912,0.002481718547642231
fr,en,ru,0.9067854285240173,0.027031298726797104,0.0014582485891878605,0.0011341667268425226
fr,zh,en,0.8182777762413025,0.030890030786395073,0.7462565898895264,0.06007048860192299
fr,zh,es,0.8182777762413025,0.030890030786395073,0.03464261442422867,0.026983166113495827
fr,zh,de,0.8182777762413025,0.030890030786395073,0.009546470828354359,0.013240116648375988
fr,zh,ru,0.8182777762413025,0.030890030786395073,0.002708759158849716,0.0019360326696187258
fr,es,en,0.9003099203109741,0.03418736532330513,0.7768633365631104,0.06166364625096321
fr,es,zh,0.9003099203109741,0.03418736532330513,0.027930207550525665,0.013947762548923492
fr,es,de,0.9003099203109741,0.03418736532330513,0.006398454774171114,0.007662928197532892
fr,es,ru,0.9003099203109741,0.03418736532330513,0.0054820869117975235,0.006182526703923941
fr,de,en,0.7809917330741882,0.043449435383081436,0.7917598485946655,0.05855392664670944
fr,de,zh,0.7809917330741882,0.043449435383081436,0.016826845705509186,0.006909899413585663
fr,de,es,0.7809917330741882,0.043449435383081436,0.03365661948919296,0.0290810726583004
fr,de,ru,0.7809917330741882,0.043449435383081436,0.0043695480562746525,0.005516665056347847
fr,ru,en,0.8454592227935791,0.04269910231232643,0.7670890688896179,0.061434220522642136
fr,ru,zh,0.8454592227935791,0.04269910231232643,0.03360096737742424,0.019583048298954964
fr,ru,es,0.8454592227935791,0.04269910231232643,0.0458621047437191,0.028418179601430893
fr,ru,de,0.8454592227935791,0.04269910231232643,0.006681353319436312,0.004600235726684332
es,en,zh,0.9170243740081787,0.030800580978393555,0.0028113501612097025,0.0011299881152808666
es,en,fr,0.9170243740081787,0.030800580978393555,0.10278106480836868,0.0606922022998333
es,en,de,0.9170243740081787,0.030800580978393555,0.0014741416089236736,0.0006739249802194536
es,en,ru,0.9170243740081787,0.030800580978393555,0.001925532822497189,0.0017979154363274574
es,zh,en,0.782677412033081,0.04156306013464928,0.7381784319877625,0.06555139273405075
es,zh,fr,0.782677412033081,0.04156306013464928,0.07774638384580612,0.04581332206726074
es,zh,de,0.782677412033081,0.04156306013464928,0.008137904107570648,0.011048885993659496
es,zh,ru,0.782677412033081,0.04156306013464928,0.002727743936702609,0.0018602992640808225
es,fr,en,0.8510628342628479,0.04634717106819153,0.8203357458114624,0.0569879375398159
es,fr,zh,0.8510628342628479,0.04634717106819153,0.02190128155052662,0.01459669228643179
es,fr,de,0.8510628342628479,0.04634717106819153,0.016113219782710075,0.016984932124614716
es,fr,ru,0.8510628342628479,0.04634717106819153,0.006743974983692169,0.007204484194517136
es,de,en,0.8262857794761658,0.03585069999098778,0.7924910187721252,0.06052778288722038
es,de,zh,0.8262857794761658,0.03585069999098778,0.019971268251538277,0.008050153031945229
es,de,fr,0.8262857794761658,0.03585069999098778,0.08683649450540543,0.055022116750478745
es,de,ru,0.8262857794761658,0.03585069999098778,0.004234028980135918,0.004052851814776659
es,ru,en,0.8489545583724976,0.04471703991293907,0.7797583937644958,0.06297290325164795
es,ru,zh,0.8489545583724976,0.04471703991293907,0.037120405584573746,0.020987359806895256
es,ru,fr,0.8489545583724976,0.04471703991293907,0.08869105577468872,0.05591383948922157
es,ru,de,0.8489545583724976,0.04471703991293907,0.006203705444931984,0.004318167455494404
de,en,zh,0.8334488272666931,0.034989189356565475,0.0030817007645964622,0.0012420903658494353
de,en,fr,0.8334488272666931,0.034989189356565475,0.10137791931629181,0.05955145135521889
de,en,es,0.8334488272666931,0.034989189356565475,0.012270069681107998,0.01404604222625494
de,en,ru,0.8334488272666931,0.034989189356565475,0.0015413560904562473,0.0006024767062626779
de,zh,en,0.7709972262382507,0.04444494843482971,0.7370983362197876,0.06860800832509995
de,zh,fr,0.7709972262382507,0.04444494843482971,0.07232050597667694,0.04352017864584923
de,zh,es,0.7709972262382507,0.04444494843482971,0.018578452989459038,0.021995358169078827
de,zh,ru,0.7709972262382507,0.04444494843482971,0.0033161377068609,0.0022281608544290066
de,fr,en,0.7718752026557922,0.03995317220687866,0.8141706585884094,0.0602395199239254
de,fr,zh,0.7718752026557922,0.03995317220687866,0.02596011571586132,0.016195520758628845
de,fr,es,0.7718752026557922,0.03995317220687866,0.12206604331731796,0.05422251299023628
de,fr,ru,0.7718752026557922,0.03995317220687866,0.006520682480186224,0.0074206809513270855
de,es,en,0.8408980965614319,0.030636534094810486,0.8017896413803101,0.06350045651197433
de,es,zh,0.8408980965614319,0.030636534094810486,0.042137302458286285,0.01998959295451641
de,es,fr,0.8408980965614319,0.030636534094810486,0.10782939940690994,0.052605390548706055
de,es,ru,0.8408980965614319,0.030636534094810486,0.007047176361083984,0.0045723458752036095
de,ru,en,0.8014869689941406,0.04300340265035629,0.7728452086448669,0.06548990309238434
de,ru,zh,0.8014869689941406,0.04300340265035629,0.04472306743264198,0.02470601163804531
de,ru,fr,0.8014869689941406,0.04300340265035629,0.0863257348537445,0.050793059170246124
de,ru,es,0.8014869689941406,0.04300340265035629,0.02203258126974106,0.014468040317296982
ru,en,zh,0.8999285101890564,0.0342237688601017,0.0028533616568893194,0.0009758636588230729
ru,en,fr,0.8999285101890564,0.0342237688601017,0.09814414381980896,0.05923352763056755
ru,en,es,0.8999285101890564,0.0342237688601017,0.015392418950796127,0.01683165691792965
ru,en,de,0.8999285101890564,0.0342237688601017,0.001571750734001398,0.0008563799201510847
ru,zh,en,0.8110408782958984,0.039432987570762634,0.7404086589813232,0.06567111611366272
ru,zh,fr,0.8110408782958984,0.039432987570762634,0.07477527856826782,0.05042732506990433
ru,zh,es,0.8110408782958984,0.039432987570762634,0.020047510042786598,0.01729845069348812
ru,zh,de,0.8110408782958984,0.039432987570762634,0.006270493380725384,0.008529167622327805
ru,fr,en,0.8523697257041931,0.04316689074039459,0.8257936239242554,0.05499712750315666
ru,fr,zh,0.8523697257041931,0.04316689074039459,0.02401835285127163,0.016906781122088432
ru,fr,es,0.8523697257041931,0.04316689074039459,0.12777496874332428,0.05971892923116684
ru,fr,de,0.8523697257041931,0.04316689074039459,0.012345995754003525,0.014784218743443489
ru,es,en,0.8822927474975586,0.03277929872274399,0.8150853514671326,0.05744510516524315
ru,es,zh,0.8822927474975586,0.03277929872274399,0.04232002794742584,0.02194434218108654
ru,es,fr,0.8822927474975586,0.03277929872274399,0.10002575069665909,0.05223306640982628
ru,es,de,0.8822927474975586,0.03277929872274399,0.004843436181545258,0.003841626225039363
ru,de,en,0.8277156949043274,0.03838358074426651,0.7978200316429138,0.057418543845415115
ru,de,zh,0.8277156949043274,0.03838358074426651,0.026559866964817047,0.013064646162092686
ru,de,fr,0.8277156949043274,0.03838358074426651,0.08272632211446762,0.054853420704603195
ru,de,es,0.8277156949043274,0.03838358074426651,0.02334476262331009,0.022072406485676765
